iter	PRAUC	Logloss
0	0.8898969971	0.6445393865
1	0.894945272	0.6088778345
2	0.8952496752	0.581557454
3	0.8963625999	0.5570182199
4	0.8973322026	0.5364546999
5	0.8990503533	0.5147356329
6	0.8999617976	0.503693604
7	0.9002994834	0.4913044488
8	0.900398722	0.4818726169
9	0.9008049616	0.4725980238
10	0.9009074962	0.4635713123
11	0.9012454617	0.4591621333
12	0.901320303	0.4520045026
13	0.9015562371	0.4476176204
14	0.9019866955	0.4415146246
15	0.9021906329	0.4368615833
16	0.9025095981	0.4328277457
17	0.9030253113	0.4276698104
18	0.903110105	0.4243693796
19	0.9034009018	0.4220870968
20	0.9036743728	0.4198889685
21	0.9050935588	0.4163830872
22	0.9051525384	0.4148386073
23	0.9051244008	0.413611007
24	0.9054288001	0.4111930664
25	0.9055325743	0.4102538201
26	0.9064740382	0.4075549222
27	0.9067131157	0.4054462677
28	0.906789766	0.4045296439
29	0.907004763	0.4027382251
30	0.9079051531	0.4008314996
31	0.9080231367	0.3996360222
32	0.9080775533	0.3989774621
33	0.9082335389	0.3981338827
34	0.9088363481	0.3963554485
35	0.9093102456	0.3949483992
36	0.9095506579	0.3936802097
37	0.9096739433	0.3927299957
38	0.9099802626	0.3922193043
39	0.9101755686	0.3917545934
40	0.910296169	0.3907579919
41	0.9106699301	0.3898939666
42	0.9109280565	0.3892221666
43	0.9110039918	0.3886661963
44	0.9111932752	0.3879757593
45	0.9114375342	0.3874591694
46	0.9115142258	0.387006072
47	0.911708444	0.3862771661
48	0.9119874366	0.3858167817
49	0.9121741056	0.3854515537
50	0.9123156291	0.3844641178
51	0.9126498904	0.3838659683
52	0.9127920025	0.3835953673
53	0.9129882122	0.3831682533
54	0.9130541737	0.3824139712
55	0.9132667086	0.3819104015
56	0.9133238026	0.3818116044
57	0.9134698943	0.381309096
58	0.9136647091	0.3809963842
59	0.9137005566	0.3806406937
60	0.9137161491	0.3803532325
61	0.9138425475	0.3801659594
62	0.9139037819	0.3798164341
63	0.9141620152	0.3795031924
64	0.9142057682	0.3790091428
65	0.9142311239	0.3786826853
66	0.9143638489	0.378405339
67	0.9145281989	0.3777912972
68	0.9146044283	0.3775077817
69	0.9146382569	0.3771526236
70	0.9148065078	0.3769030949
71	0.9148625963	0.3766328699
72	0.9148723084	0.3764636404
73	0.9149912021	0.3762834448
74	0.9151790339	0.3760250324
75	0.9152193323	0.3758301751
76	0.9153369213	0.3756307597
77	0.91544943	0.375402368
78	0.9155434302	0.3748423498
79	0.9156485509	0.3745445812
80	0.9158228082	0.37431424
81	0.9160092758	0.3737879752
82	0.9160718109	0.3731673606
83	0.9161294301	0.3730501699
84	0.9162371964	0.3728256702
85	0.9163237139	0.3726651824
86	0.9164910289	0.3724323146
87	0.9166645343	0.3721851339
88	0.9167213746	0.3717997715
89	0.9167356245	0.3716117182
90	0.916740456	0.3714852656
91	0.9168270609	0.3713278092
92	0.9169047029	0.371194762
93	0.9170812737	0.3708973162
94	0.9171699449	0.3705935471
95	0.9172490992	0.3702005435
96	0.9173661638	0.3699679227
97	0.9174080573	0.3697410615
98	0.9175215494	0.3695841013
99	0.9175842983	0.369481622
100	0.9177301337	0.3692872784
101	0.9177922093	0.3691174831
102	0.9178979364	0.368882616
103	0.9179406844	0.3687546332
104	0.9180963802	0.368576914
105	0.918235378	0.3683643807
106	0.9183290504	0.3679861584
107	0.9184672844	0.3676494653
108	0.9185467102	0.3675354389
109	0.9185831769	0.3674433356
110	0.9186565187	0.3673210216
111	0.9187549453	0.3671851023
112	0.9187939504	0.3669644582
113	0.9190114397	0.3667317624
114	0.9190343845	0.3666883251
115	0.9191134067	0.3665842571
116	0.9191787975	0.366393014
117	0.9192520717	0.3661175736
118	0.9193903349	0.3659655669
119	0.9194492867	0.3657616208
120	0.9196023479	0.3655770571
121	0.9196613308	0.3654061949
122	0.9198473011	0.3651073336
123	0.9200518268	0.3648508284
124	0.9201637835	0.364703951
125	0.9204089059	0.3643323618
126	0.9206409866	0.3639773173
127	0.9207680496	0.3637120397
128	0.9208138278	0.3634290819
129	0.9209539394	0.363244599
130	0.9210272525	0.3630895066
131	0.9210726537	0.3629488926
132	0.9211986815	0.3627694415
133	0.9212009963	0.3625369338
134	0.9213143251	0.3623349258
135	0.9213485709	0.362267708
136	0.9214348931	0.3620869691
137	0.9215650312	0.3619273026
138	0.9217589064	0.3616950184
139	0.9218888831	0.3614745915
140	0.9219997153	0.361298125
141	0.9221200646	0.3609838314
142	0.9222679801	0.3607592119
143	0.922459948	0.3604177802
144	0.9225663383	0.36027313
145	0.9226211328	0.3600865234
146	0.9226257039	0.3599675463
147	0.9228148432	0.3596371587
148	0.9229370799	0.3594427415
149	0.9229896281	0.3592956862
150	0.9231103576	0.3591424685
151	0.92321348	0.3589879941
152	0.9233060595	0.358847259
153	0.9233972651	0.3587018467
154	0.9234375829	0.3585404014
155	0.9236288324	0.3583136132
156	0.9239370553	0.3578828954
157	0.923997685	0.357781102
158	0.9240850957	0.3576646259
159	0.9241992134	0.3575466497
160	0.9243021216	0.3573040199
161	0.9243645307	0.3572363467
162	0.9244755589	0.3570246655
163	0.924530514	0.3568600564
164	0.9246497535	0.3566584911
165	0.9247599263	0.3564943511
166	0.9248435033	0.3562107211
167	0.9249542713	0.3559971702
168	0.9250683628	0.3558182025
169	0.9251575107	0.3556502986
170	0.9251726599	0.3555170663
171	0.9251766307	0.3554195538
172	0.9252762777	0.3549716871
173	0.9254532524	0.354778688
174	0.9254688346	0.3546802022
175	0.9254926581	0.3545591367
176	0.9255684251	0.3544168611
177	0.925776828	0.3541215791
178	0.9257779099	0.3541204778
179	0.9258725227	0.3539843502
180	0.9260195072	0.3537759345
181	0.926080063	0.3535743071
182	0.9261577452	0.3534680589
183	0.9262862302	0.3532891558
184	0.9263762723	0.3531389415
185	0.9264696086	0.3529127061
186	0.926655626	0.3525887769
187	0.9267284595	0.3523902833
188	0.9269187356	0.352137443
189	0.9269922406	0.351954672
190	0.9270770325	0.3518425008
191	0.9271578993	0.3517113841
192	0.9273291948	0.3514457363
193	0.9274409513	0.3512277133
194	0.9275150134	0.3511508899
195	0.9277631321	0.3508341512
196	0.9278311082	0.3506794538
197	0.9279683613	0.3504622399
198	0.9280404314	0.3503634513
199	0.9281918165	0.3501485162
200	0.9282937674	0.349986611
