iter	Passed	Remaining
0	93	93298
1	102	51233
2	108	36093
3	114	28439
4	119	23837
5	124	20688
6	129	18419
7	136	16873
8	141	15562
9	146	14542
10	152	13713
11	159	13138
12	165	12567
13	171	12045
14	176	11583
15	181	11174
16	187	10858
17	193	10545
18	199	10313
19	205	10060
20	211	9862
21	217	9659
22	223	9495
23	230	9381
24	239	9328
25	245	9194
26	252	9095
27	259	9025
28	266	8926
29	274	8866
30	280	8768
31	292	8842
32	300	8814
33	307	8745
34	314	8683
35	325	8728
36	332	8646
37	340	8625
38	348	8593
39	357	8568
40	365	8542
41	372	8489
42	380	8478
43	391	8505
44	404	8578
45	418	8676
46	425	8618
47	431	8555
48	442	8585
49	451	8578
50	462	8608
51	469	8565
52	476	8513
53	483	8470
54	494	8498
55	508	8578
56	515	8527
57	525	8539
58	539	8602
59	551	8633
60	562	8658
61	573	8675
62	582	8669
63	591	8652
64	601	8649
65	615	8705
66	626	8721
67	635	8710
68	651	8784
69	661	8794
70	673	8815
71	683	8815
72	693	8802
73	704	8819
74	716	8839
75	726	8830
76	735	8815
77	743	8793
78	752	8767
79	758	8727
80	767	8705
81	774	8669
82	783	8660
83	793	8649
84	802	8636
85	812	8637
86	819	8599
87	829	8600
88	837	8568
89	844	8535
90	850	8499
91	859	8478
92	865	8443
93	873	8423
94	881	8393
95	887	8360
96	894	8330
97	901	8297
98	910	8283
99	917	8254
100	923	8222
101	932	8208
102	938	8177
103	947	8163
104	954	8132
105	960	8098
106	967	8073
107	974	8049
108	980	8018
109	993	8035
110	1000	8012
111	1006	7983
112	1014	7966
113	1021	7942
114	1028	7915
115	1039	7920
116	1046	7899
117	1053	7871
118	1060	7848
119	1066	7820
120	1075	7813
121	1082	7793
122	1093	7799
123	1101	7781
124	1107	7753
125	1114	7729
126	1125	7737
127	1133	7719
128	1144	7725
129	1158	7755
130	1167	7744
131	1174	7722
132	1181	7702
133	1188	7681
134	1198	7676
135	1204	7652
136	1213	7644
137	1220	7621
138	1226	7597
139	1233	7574
140	1239	7553
141	1247	7535
142	1253	7513
143	1261	7500
144	1269	7484
145	1275	7461
146	1283	7447
147	1290	7426
148	1296	7407
149	1303	7386
150	1310	7368
151	1317	7349
152	1325	7336
153	1333	7327
154	1340	7306
155	1348	7294
156	1355	7276
157	1361	7257
158	1369	7245
159	1376	7228
160	1384	7213
161	1390	7192
162	1397	7173
163	1404	7158
164	1411	7141
165	1417	7122
166	1425	7108
167	1432	7095
168	1439	7076
169	1445	7059
170	1452	7039
171	1458	7021
172	1464	7001
173	1471	6987
174	1478	6969
175	1484	6950
176	1491	6932
177	1497	6914
178	1502	6890
179	1508	6873
180	1515	6857
181	1522	6841
182	1529	6829
183	1535	6811
184	1542	6797
185	1549	6781
186	1560	6783
187	1573	6798
188	1585	6804
189	1596	6804
190	1607	6806
191	1618	6809
192	1629	6811
193	1640	6817
194	1650	6813
195	1660	6812
196	1667	6798
197	1676	6788
198	1682	6772
199	1690	6760
200	1696	6745
201	1704	6732
202	1710	6716
203	1717	6701
204	1724	6686
205	1730	6671
206	1737	6657
207	1749	6660
208	1755	6644
209	1762	6630
210	1769	6618
211	1776	6602
212	1783	6589
213	1790	6577
214	1798	6564
215	1804	6548
216	1810	6531
217	1816	6516
218	1822	6499
219	1828	6484
220	1835	6468
221	1841	6454
222	1847	6438
223	1855	6427
224	1861	6412
225	1869	6403
226	1876	6389
227	1882	6375
228	1890	6364
229	1896	6350
230	1905	6342
231	1911	6329
232	1919	6317
233	1927	6309
234	1935	6300
235	1942	6288
236	1964	6323
237	1971	6311
238	1977	6297
239	1985	6288
240	1993	6276
241	2001	6269
242	2009	6261
243	2016	6247
244	2024	6239
245	2031	6226
246	2040	6220
247	2047	6209
248	2054	6197
249	2066	6199
250	2076	6197
251	2085	6191
252	2094	6183
253	2101	6171
254	2109	6162
255	2118	6157
256	2126	6148
257	2135	6141
258	2142	6129
259	2154	6132
260	2162	6121
261	2172	6119
262	2179	6107
263	2186	6096
264	2194	6085
265	2205	6086
266	2213	6075
267	2221	6068
268	2232	6065
269	2240	6057
270	2249	6050
271	2255	6037
272	2262	6026
273	2270	6014
274	2276	6002
275	2285	5995
276	2298	6000
277	2306	5990
278	2315	5982
279	2324	5977
280	2334	5972
281	2340	5960
282	2348	5949
283	2354	5937
284	2361	5924
285	2368	5912
286	2375	5901
287	2384	5894
288	2391	5882
289	2397	5870
290	2405	5860
291	2411	5847
292	2418	5835
293	2424	5822
294	2432	5812
295	2439	5801
296	2445	5789
297	2452	5777
298	2458	5764
299	2465	5753
300	2471	5740
301	2478	5728
302	2485	5717
303	2491	5704
304	2498	5692
305	2505	5681
306	2511	5670
307	2518	5658
308	2525	5647
309	2532	5636
310	2539	5625
311	2545	5613
312	2551	5601
313	2558	5589
314	2565	5579
315	2573	5569
316	2581	5562
317	2588	5551
318	2595	5540
319	2601	5528
320	2607	5516
321	2614	5505
322	2621	5494
323	2631	5489
324	2637	5478
325	2644	5466
326	2652	5458
327	2659	5447
328	2666	5437
329	2673	5428
330	2681	5419
331	2688	5409
332	2695	5399
333	2702	5388
334	2710	5380
335	2719	5373
336	2727	5366
337	2734	5354
338	2740	5343
339	2746	5331
340	2753	5320
341	2760	5310
342	2767	5301
343	2773	5289
344	2780	5278
345	2787	5269
346	2794	5258
347	2803	5253
348	2812	5245
349	2819	5235
350	2826	5226
351	2833	5215
352	2847	5219
353	2855	5211
354	2862	5200
355	2868	5189
356	2878	5185
357	2885	5174
358	2892	5164
359	2899	5154
360	2905	5143
361	2912	5132
362	2919	5123
363	2926	5112
364	2933	5103
365	2939	5091
366	2946	5081
367	2952	5070
368	2958	5059
369	2965	5049
370	2971	5038
371	2978	5028
372	2987	5021
373	2994	5012
374	3000	5001
375	3009	4994
376	3015	4983
377	3022	4974
378	3029	4963
379	3035	4952
380	3042	4943
381	3048	4932
382	3056	4924
383	3063	4914
384	3070	4904
385	3076	4894
386	3085	4886
387	3093	4879
388	3104	4876
389	3111	4866
390	3118	4857
391	3125	4847
392	3132	4838
393	3139	4828
394	3146	4819
395	3153	4809
396	3159	4799
397	3166	4788
398	3174	4781
399	3183	4775
400	3189	4764
401	3197	4757
402	3204	4747
403	3211	4737
404	3217	4727
405	3223	4716
406	3231	4708
407	3239	4700
408	3245	4690
409	3253	4681
410	3259	4671
411	3267	4662
412	3273	4653
413	3282	4646
414	3292	4641
415	3303	4636
416	3313	4633
417	3327	4632
418	3338	4629
419	3349	4625
420	3361	4622
421	3370	4615
422	3379	4609
423	3387	4602
424	3396	4595
425	3403	4585
426	3410	4576
427	3417	4566
428	3425	4559
429	3432	4550
430	3441	4543
431	3449	4535
432	3456	4526
433	3465	4520
434	3475	4514
435	3482	4505
436	3489	4495
437	3496	4485
438	3503	4476
439	3510	4467
440	3518	4460
441	3525	4451
442	3532	4441
443	3540	4433
444	3546	4423
445	3554	4415
446	3561	4405
447	3567	4395
448	3574	4386
449	3581	4377
450	3589	4369
451	3595	4359
452	3602	4350
453	3609	4340
454	3616	4332
455	3623	4322
456	3632	4315
457	3639	4307
458	3649	4301
459	3656	4292
460	3664	4284
461	3671	4274
462	3677	4265
463	3685	4257
464	3692	4248
465	3699	4239
466	3706	4230
467	3713	4220
468	3719	4211
469	3726	4201
470	3732	4192
471	3739	4183
472	3747	4175
473	3754	4165
474	3761	4157
475	3768	4148
476	3774	4138
477	3781	4129
478	3789	4121
479	3795	4111
480	3801	4102
481	3807	4092
482	3814	4082
483	3820	4073
484	3827	4063
485	3833	4054
486	3843	4048
487	3849	4038
488	3856	4029
489	3862	4020
490	3869	4011
491	3875	4001
492	3882	3992
493	3891	3985
494	3897	3976
495	3904	3967
496	3911	3958
497	3919	3951
498	3925	3941
499	3932	3932
500	3938	3923
501	3946	3915
502	3953	3906
503	3960	3897
504	3966	3888
505	3973	3879
506	3979	3870
507	3990	3864
508	3996	3855
509	4004	3847
510	4010	3838
511	4017	3829
512	4023	3819
513	4031	3811
514	4037	3802
515	4044	3793
516	4050	3784
517	4057	3775
518	4064	3766
519	4071	3757
520	4077	3748
521	4084	3740
522	4091	3731
523	4099	3724
524	4105	3714
525	4112	3705
526	4118	3696
527	4124	3687
528	4131	3678
529	4137	3669
530	4144	3660
531	4151	3651
532	4158	3643
533	4164	3634
534	4176	3630
535	4187	3624
536	4193	3616
537	4202	3608
538	4209	3599
539	4216	3591
540	4224	3583
541	4236	3579
542	4244	3572
543	4252	3564
544	4259	3556
545	4268	3548
546	4275	3540
547	4281	3531
548	4288	3523
549	4295	3514
550	4302	3505
551	4309	3497
552	4317	3489
553	4324	3481
554	4331	3472
555	4339	3465
556	4346	3456
557	4353	3448
558	4360	3439
559	4368	3432
560	4375	3424
561	4383	3416
562	4390	3408
563	4397	3399
564	4403	3390
565	4410	3382
566	4421	3376
567	4428	3368
568	4435	3359
569	4441	3350
570	4448	3342
571	4454	3333
572	4461	3324
573	4469	3316
574	4476	3308
575	4483	3300
576	4489	3291
577	4496	3282
578	4502	3274
579	4509	3265
580	4517	3257
581	4523	3249
582	4530	3240
583	4536	3231
584	4542	3222
585	4549	3213
586	4555	3205
587	4561	3196
588	4568	3187
589	4575	3179
590	4582	3171
591	4588	3162
592	4595	3154
593	4602	3145
594	4608	3137
595	4615	3128
596	4622	3120
597	4629	3112
598	4636	3103
599	4642	3094
600	4648	3086
601	4655	3077
602	4661	3069
603	4671	3062
604	4679	3055
605	4686	3046
606	4693	3038
607	4699	3030
608	4706	3021
609	4712	3013
610	4719	3004
611	4726	2996
612	4734	2988
613	4742	2981
614	4749	2973
615	4755	2964
616	4762	2956
617	4768	2947
618	4776	2939
619	4782	2931
620	4790	2923
621	4796	2914
622	4802	2906
623	4809	2897
624	4815	2889
625	4822	2881
626	4829	2872
627	4838	2866
628	4845	2858
629	4852	2849
630	4858	2841
631	4864	2832
632	4871	2824
633	4878	2816
634	4885	2808
635	4891	2799
636	4898	2791
637	4905	2783
638	4912	2775
639	4920	2767
640	4926	2759
641	4934	2751
642	4943	2744
643	4950	2736
644	4958	2728
645	4964	2720
646	4971	2712
647	4978	2704
648	4985	2696
649	5000	2692
650	5013	2687
651	5024	2681
652	5032	2674
653	5043	2668
654	5053	2661
655	5061	2654
656	5076	2650
657	5088	2644
658	5098	2637
659	5106	2630
660	5114	2623
661	5124	2616
662	5132	2608
663	5139	2600
664	5145	2592
665	5153	2584
666	5160	2576
667	5168	2568
668	5174	2560
669	5181	2552
670	5188	2543
671	5194	2535
672	5201	2527
673	5214	2522
674	5220	2513
675	5227	2505
676	5234	2497
677	5240	2489
678	5247	2480
679	5254	2472
680	5261	2464
681	5270	2457
682	5276	2449
683	5283	2440
684	5289	2432
685	5297	2424
686	5304	2416
687	5311	2408
688	5318	2400
689	5324	2392
690	5331	2384
691	5337	2375
692	5344	2367
693	5351	2359
694	5357	2351
695	5364	2343
696	5370	2334
697	5377	2326
698	5384	2318
699	5393	2311
700	5402	2304
701	5408	2296
702	5418	2289
703	5430	2283
704	5439	2275
705	5447	2268
706	5454	2260
707	5463	2253
708	5474	2246
709	5480	2238
710	5488	2231
711	5497	2223
712	5505	2215
713	5516	2209
714	5525	2202
715	5532	2194
716	5541	2187
717	5550	2179
718	5557	2172
719	5565	2164
720	5573	2156
721	5583	2149
722	5592	2142
723	5600	2134
724	5608	2127
725	5619	2120
726	5627	2113
727	5636	2105
728	5643	2097
729	5650	2090
730	5661	2083
731	5671	2076
732	5679	2068
733	5691	2062
734	5701	2055
735	5709	2047
736	5719	2041
737	5728	2033
738	5737	2026
739	5746	2018
740	5752	2010
741	5762	2003
742	5769	1995
743	5777	1987
744	5787	1980
745	5794	1972
746	5802	1965
747	5808	1956
748	5815	1948
749	5821	1940
750	5828	1932
751	5834	1924
752	5842	1916
753	5849	1908
754	5856	1900
755	5862	1892
756	5869	1884
757	5875	1875
758	5881	1867
759	5888	1859
760	5894	1851
761	5901	1843
762	5907	1835
763	5914	1826
764	5921	1818
765	5928	1810
766	5935	1803
767	5941	1794
768	5952	1787
769	5959	1779
770	5965	1771
771	5974	1764
772	5980	1756
773	5986	1748
774	5993	1739
775	5999	1731
776	6005	1723
777	6011	1715
778	6018	1707
779	6025	1699
780	6032	1691
781	6038	1683
782	6044	1675
783	6051	1667
784	6057	1659
785	6065	1651
786	6071	1643
787	6078	1635
788	6085	1627
789	6092	1619
790	6099	1611
791	6105	1603
792	6112	1595
793	6118	1587
794	6126	1579
795	6136	1572
796	6142	1564
797	6149	1556
798	6155	1548
799	6164	1541
800	6171	1533
801	6179	1525
802	6185	1517
803	6192	1509
804	6198	1501
805	6205	1493
806	6212	1485
807	6218	1477
808	6224	1469
809	6230	1461
810	6236	1453
811	6242	1445
812	6250	1437
813	6258	1430
814	6266	1422
815	6273	1414
816	6280	1406
817	6287	1398
818	6293	1390
819	6300	1383
820	6306	1375
821	6313	1367
822	6319	1359
823	6326	1351
824	6332	1343
825	6338	1335
826	6345	1327
827	6351	1319
828	6358	1311
829	6366	1303
830	6372	1295
831	6380	1288
832	6386	1280
833	6396	1273
834	6404	1265
835	6412	1257
836	6419	1250
837	6430	1243
838	6436	1235
839	6442	1227
840	6449	1219
841	6455	1211
842	6462	1203
843	6469	1195
844	6475	1187
845	6483	1180
846	6490	1172
847	6499	1165
848	6509	1157
849	6516	1149
850	6522	1141
851	6529	1134
852	6536	1126
853	6548	1119
854	6555	1111
855	6561	1103
856	6569	1096
857	6575	1088
858	6583	1080
859	6589	1072
860	6596	1064
861	6602	1056
862	6608	1049
863	6615	1041
864	6621	1033
865	6629	1025
866	6635	1017
867	6642	1010
868	6648	1002
869	6655	994
870	6662	986
871	6668	978
872	6675	971
873	6682	963
874	6688	955
875	6696	947
876	6702	939
877	6709	932
878	6716	924
879	6724	916
880	6731	909
881	6738	901
882	6745	893
883	6752	886
884	6761	878
885	6776	871
886	6789	864
887	6802	858
888	6819	851
889	6830	844
890	6840	836
891	6850	829
892	6863	822
893	6873	815
894	6884	807
895	6890	799
896	6896	791
897	6903	784
898	6910	776
899	6916	768
900	6922	760
901	6930	752
902	6938	745
903	6949	737
904	6955	730
905	6961	722
906	6967	714
907	6974	706
908	6981	698
909	6987	691
910	6995	683
911	7001	675
912	7007	667
913	7014	660
914	7020	652
915	7028	644
916	7035	636
917	7041	629
918	7048	621
919	7054	613
920	7060	605
921	7067	597
922	7075	590
923	7081	582
924	7088	574
925	7096	567
926	7102	559
927	7110	551
928	7116	543
929	7124	536
930	7130	528
931	7139	520
932	7146	513
933	7152	505
934	7160	497
935	7166	490
936	7173	482
937	7179	474
938	7188	467
939	7196	459
940	7205	451
941	7211	444
942	7219	436
943	7227	428
944	7233	420
945	7243	413
946	7253	405
947	7261	398
948	7267	390
949	7274	382
950	7283	375
951	7292	367
952	7299	359
953	7306	352
954	7313	344
955	7320	336
956	7328	329
957	7334	321
958	7343	313
959	7350	306
960	7357	298
961	7363	290
962	7370	283
963	7378	275
964	7384	267
965	7392	260
966	7400	252
967	7407	244
968	7414	237
969	7421	229
970	7427	221
971	7434	214
972	7442	206
973	7449	198
974	7457	191
975	7465	183
976	7471	175
977	7479	168
978	7485	160
979	7492	152
980	7499	145
981	7506	137
982	7514	129
983	7520	122
984	7527	114
985	7533	106
986	7540	99
987	7547	91
988	7553	84
989	7561	76
990	7567	68
991	7574	61
992	7581	53
993	7587	45
994	7597	38
995	7603	30
996	7609	22
997	7617	15
998	7623	7
999	7631	0
