feature,iv,is_numeric
employment_status,1.9027733114038774,False
debt_to_income_ratio,0.33744066921715,True
credit_score,0.2942056497518383,True
grade_subgrade,0.27091508591903757,False
interest_rate,0.08807863805239069,True
delinquency_history,0.04330453583644367,True
num_of_delinquencies,0.03344772500300957,True
loan_purpose,0.007357069370791708,False
total_credit_limit,0.006169472239049988,True
monthly_income,0.004704967794655934,True
annual_income,0.004704967794655934,True
current_balance,0.004312552210282053,True
education_level,0.003625352075752153,False
loan_amount,0.0035060568280185144,True
installment,0.0029621761310524284,True
num_of_open_accounts,0.002821235809832171,True
age,0.0023998353079776767,True
marital_status,0.001927291990924361,False
gender,0.00039870661866716717,False
public_records,0.0001518931673209412,False
loan_term,0.00013446817125935202,False
